,city,cloudiness,country_code,humidity,lat,lng,temp,temp_max,temp_min,url,wind_speed
100,Wimmelburg,0,DE,92,51.53,11.55,22.999999999999943,22.999999999999943,22.999999999999943,https://api.openweathermap.org/data/2.5/weather?lat=51.52754&lon=11.54835&appid=de6eeb5e838ae1aee6c66e7e9de1f551,3.6
101,Suishan,32,CN,81,29.61,103.49,43.341800000000035,43.341800000000035,43.341800000000035,https://api.openweathermap.org/data/2.5/weather?lat=29.60831&lon=103.48603&appid=de6eeb5e838ae1aee6c66e7e9de1f551,0.92
102,Kostrzyn,90,PL,100,52.4,17.23,28.399999999999977,28.399999999999977,28.399999999999977,https://api.openweathermap.org/data/2.5/weather?lat=52.39847&lon=17.22811&appid=de6eeb5e838ae1aee6c66e7e9de1f551,1.5
103,Cavenago di Brianza,0,IT,76,45.58,9.41,27.968000000000018,31.999999999999943,22.999999999999943,https://api.openweathermap.org/data/2.5/weather?lat=45.58297&lon=9.41261&appid=de6eeb5e838ae1aee6c66e7e9de1f551,1.0
104,Aikmel,75,ID,94,-8.57,116.53,76.99999999999994,76.99999999999994,76.99999999999994,https://api.openweathermap.org/data/2.5/weather?lat=-8.5678&lon=116.5305&appid=de6eeb5e838ae1aee6c66e7e9de1f551,3.6
105,Janesville,1,US,35,40.3,-120.52,40.99999999999994,40.99999999999994,40.99999999999994,https://api.openweathermap.org/data/2.5/weather?lat=40.29656&lon=-120.52411&appid=de6eeb5e838ae1aee6c66e7e9de1f551,3.6
106,Kampala,20,UG,100,0.32,32.58,69.80000000000001,69.80000000000001,69.80000000000001,https://api.openweathermap.org/data/2.5/weather?lat=0.31628&lon=32.58219&appid=de6eeb5e838ae1aee6c66e7e9de1f551,1.0
107,Zacatepec,0,MX,86,19.27,-97.53,45.186800000000005,45.186800000000005,45.186800000000005,https://api.openweathermap.org/data/2.5/weather?lat=19.26631&lon=-97.5328&appid=de6eeb5e838ae1aee6c66e7e9de1f551,1.87
108,Wethersfield,90,GB,100,51.95,0.44,44.29400000000004,44.599999999999966,42.799999999999955,https://api.openweathermap.org/data/2.5/weather?lat=51.94813&lon=0.43645&appid=de6eeb5e838ae1aee6c66e7e9de1f551,5.1
109,Rubiales,0,ES,66,40.28,-1.27,51.799999999999955,51.799999999999955,51.799999999999955,https://api.openweathermap.org/data/2.5/weather?lat=40.27623&lon=-1.27167&appid=de6eeb5e838ae1aee6c66e7e9de1f551,1.5
110,Monforte de la Sierra,92,ES,100,40.48,-6.06,44.82679999999999,44.82679999999999,44.82679999999999,https://api.openweathermap.org/data/2.5/weather?lat=40.48264&lon=-6.05671&appid=de6eeb5e838ae1aee6c66e7e9de1f551,1.07
111,Heze,76,CN,43,35.29,115.09,38.79679999999996,38.79679999999996,38.79679999999996,https://api.openweathermap.org/data/2.5/weather?lat=35.29145&lon=115.09019&appid=de6eeb5e838ae1aee6c66e7e9de1f551,2.57
112,Asselfingen,75,DE,85,48.53,10.19,18.733999999999924,22.999999999999943,12.199999999999932,https://api.openweathermap.org/data/2.5/weather?lat=48.52959&lon=10.19166&appid=de6eeb5e838ae1aee6c66e7e9de1f551,0.5
113,San Eugenio,20,PH,65,16.36,120.36,84.15679999999992,84.15679999999992,84.15679999999992,https://api.openweathermap.org/data/2.5/weather?lat=16.3598&lon=120.357&appid=de6eeb5e838ae1aee6c66e7e9de1f551,1.17
114,Nordreisa,0,NO,100,69.77,21.02,-1.2982000000000085,-1.2982000000000085,-1.2982000000000085,https://api.openweathermap.org/data/2.5/weather?lat=69.76783&lon=21.02466&appid=de6eeb5e838ae1aee6c66e7e9de1f551,1.22
115,Rural Retreat,90,US,76,36.89,-81.28,51.799999999999955,53.599999999999966,48.19999999999993,https://api.openweathermap.org/data/2.5/weather?lat=36.89373&lon=-81.27593&appid=de6eeb5e838ae1aee6c66e7e9de1f551,1.92
116,Manning,1,US,93,33.7,-80.21,56.31800000000004,60.80000000000001,51.799999999999955,https://api.openweathermap.org/data/2.5/weather?lat=33.69516&lon=-80.21091&appid=de6eeb5e838ae1aee6c66e7e9de1f551,3.87
